size,se,coef
1000,0.002223342747121866,price
1000,0.007599347788011994,expressFee
1000,0.10742059493148955,leg1ModeCar
1000,0.10737070943259805,leg1ModeCarExpress
1000,0.08553284813778099,leg1ModeUberTaxi
1000,0.08248862004735408,leg1ModeBus
1000,0.10466315070955097,leg2ModeWalk
1000,0.12481844052195357,leg2ModeUberTaxi
1000,0.10183115304359786,leg2ModeBus
1000,0.0020311603246586096,leg1Time
1000,0.005689612327132582,leg2Time
1000,0.006015538220342546,transfer1Time
1000,0.007237751105145627,transfer2Time
1000,0.03898007684162523,tripTimeUnc0_1
1000,0.03858215129066387,tripTimeUnc0_2
2000,0.0015741950207618757,price
2000,0.005341233191682968,expressFee
2000,0.07731555128807453,leg1ModeCar
2000,0.07707478394781166,leg1ModeCarExpress
2000,0.06165445591594759,leg1ModeUberTaxi
2000,0.0592563736312336,leg1ModeBus
2000,0.07285107311823903,leg2ModeWalk
2000,0.0881111108832762,leg2ModeUberTaxi
2000,0.07218480157159426,leg2ModeBus
2000,0.001431221314701012,leg1Time
2000,0.00399969120592719,leg2Time
2000,0.0042161243790873,transfer1Time
2000,0.005118670997067931,transfer2Time
2000,0.027451232211066007,tripTimeUnc0_1
2000,0.02737160946311509,tripTimeUnc0_2
3000,0.0012703554560748083,price
3000,0.004351558598381165,expressFee
3000,0.062111575442978455,leg1ModeCar
3000,0.06245066959665512,leg1ModeCarExpress
3000,0.04989996177130142,leg1ModeUberTaxi
3000,0.04801552890559135,leg1ModeBus
3000,0.059962195117624725,leg2ModeWalk
3000,0.07234769360828062,leg2ModeUberTaxi
3000,0.059187604553412265,leg2ModeBus
3000,0.0011727475059944428,leg1Time
3000,0.003289756712352775,leg2Time
3000,0.0034518147588300596,transfer1Time
3000,0.004216793484083329,transfer2Time
3000,0.022269844595563734,tripTimeUnc0_1
3000,0.022392126596254752,tripTimeUnc0_2
4000,0.001113853020001802,price
4000,0.003809817647332678,expressFee
4000,0.05426527842938165,leg1ModeCar
4000,0.05438282655562383,leg1ModeCarExpress
4000,0.04327874082225264,leg1ModeUberTaxi
4000,0.04137783726145211,leg1ModeBus
4000,0.05162758214129155,leg2ModeWalk
4000,0.0626308190608675,leg2ModeUberTaxi
4000,0.05122344417461762,leg2ModeBus
4000,0.001020164676906543,leg1Time
4000,0.0028471604184828418,leg2Time
4000,0.0029869158658465847,transfer1Time
4000,0.003607470171693412,transfer2Time
4000,0.019379450080810524,tripTimeUnc0_1
4000,0.019365765357562483,tripTimeUnc0_2
5000,9.895592514884994e-4,price
5000,0.003391992246129976,expressFee
5000,0.04843733233510319,leg1ModeCar
5000,0.04857620435936478,leg1ModeCarExpress
5000,0.038682159690797774,leg1ModeUberTaxi
5000,0.03727712071523077,leg1ModeBus
