size,se,coef
1000,0.002225220838057211,price
1000,0.007602188105634622,expressFee
1000,0.32466441610437885,leg1ModeCar
1000,0.32393723099508703,leg1ModeCarExpress
1000,0.3130586871003172,leg1ModeUberTaxi
1000,0.31398004661391465,leg1ModeBus
1000,0.309984984585577,leg2ModeWalk
1000,0.23436140188557472,leg2ModeUberTaxi
1000,0.11186065992733403,leg2ModeBus
1000,0.0230983815816719,leg1Time
1000,0.006444408101149926,leg2Time
1000,0.006018276522773834,transfer1Time
1000,0.0072465259994351,transfer2Time
1000,0.03901556267991115,tripTimeUnc0_1
1000,0.03861536001600276,tripTimeUnc0_2
1000,0.02346221605407828,intTime1Car
1000,0.023434432920002978,intTime1CarExpress
1000,0.023418853203903023,intTime1Taxi
1000,0.02349828947975758,intTime1Bus
1000,0.024856167093278383,intTime2Walk
1000,0.01587764154656311,intTime2Taxi
2000,0.001574599696675321,price
2000,0.005341534100459539,expressFee
2000,0.23707324809012914,leg1ModeCar
2000,0.2365555775483646,leg1ModeCarExpress
2000,0.22756298087784768,leg1ModeUberTaxi
2000,0.22884130606285105,leg1ModeBus
2000,0.2175647590548986,leg2ModeWalk
2000,0.16487288995707858,leg2ModeUberTaxi
2000,0.07875934638981699,leg2ModeBus
2000,0.01691641601236525,leg1Time
2000,0.004532759479562079,leg2Time
2000,0.004217043509555698,transfer1Time
2000,0.005121366746405352,transfer2Time
2000,0.027461313153651242,tripTimeUnc0_1
2000,0.027383237212402916,tripTimeUnc0_2
2000,0.017180118871810913,intTime1Car
2000,0.017177127897519105,intTime1CarExpress
2000,0.017108933361042265,intTime1Taxi
2000,0.017174486892464768,intTime1Bus
2000,0.017361929868170502,intTime2Walk
2000,0.011022144154574727,intTime2Taxi
3000,0.0012705899716660594,price
3000,0.004352168100592182,expressFee
3000,0.18781538511442025,leg1ModeCar
3000,0.18766970611921518,leg1ModeCarExpress
3000,0.1806093776911484,leg1ModeUberTaxi
3000,0.1816850818961076,leg1ModeBus
3000,0.17636149624283287,leg2ModeWalk
3000,0.13481408739337886,leg2ModeUberTaxi
3000,0.06477408447729134,leg2ModeBus
3000,0.01348884398082714,leg1Time
3000,0.003718787578931657,leg2Time
3000,0.0034527845011369193,transfer1Time
3000,0.0042179950532105544,transfer2Time
3000,0.022276857510941713,tripTimeUnc0_1
3000,0.022396697158887913,tripTimeUnc0_2
3000,0.013710572455711223,intTime1Car
3000,0.013711247388506459,intTime1CarExpress
3000,0.013663949281625287,intTime1Taxi
3000,0.013725329493786418,intTime1Bus
3000,0.014131480915439311,intTime2Walk
3000,0.009126695349610713,intTime2Taxi
4000,0.0011139764980739482,price
4000,0.0038109493780367986,expressFee
4000,0.16301770612054847,leg1ModeCar
4000,0.16261803146714687,leg1ModeCarExpress
4000,0.1563789006047064,leg1ModeUberTaxi
4000,0.15625439714026096,leg1ModeBus
4000,0.14952558899436927,leg2ModeWalk
4000,0.1168776797920524,leg2ModeUberTaxi
4000,0.05593829286218095,leg2ModeBus
4000,0.011628862431705555,leg1Time
4000,0.0032164939067444655,leg2Time
4000,0.002987289652013374,transfer1Time
4000,0.0036081183321240713,transfer2Time
4000,0.01938393741136093,tripTimeUnc0_1
4000,0.019367498776258842,tripTimeUnc0_2
4000,0.0118273234200895,intTime1Car
4000,0.011826624589694494,intTime1CarExpress
4000,0.011791179075028628,intTime1Taxi
4000,0.01180381289418393,intTime1Bus
4000,0.012021229180564521,intTime2Walk
4000,0.007800304357068938,intTime2Taxi
5000,9.897202551803063e-4,price
5000,0.0033920934871323133,expressFee
5000,0.1480521321566107,leg1ModeCar
5000,0.14779128219067555,leg1ModeCarExpress
5000,0.14204443191149183,leg1ModeUberTaxi
5000,0.14275929034120446,leg1ModeBus
5000,0.13604032589262022,leg2ModeWalk
5000,0.1056729738071127,leg2ModeUberTaxi
5000,0.04988917010180909,leg2ModeBus
5000,0.01059619438221661,leg1Time
5000,0.00287871279929699,leg2Time
5000,0.002669663320844058,transfer1Time
5000,0.0032591523817900843,transfer2Time
5000,0.017282781383635076,tripTimeUnc0_1
5000,0.017249187448814277,tripTimeUnc0_2
