trip,price,tripTime,tripTimeUnc,walkTimeStart,walkTimeEnd,taxiWaitTime,busWaitTime,tripTimeRange,numLegs,respID,qID,altID,obsID
Bus|Bus|Uber/Lyft,30,50,0.05,0,0,0,5,48 - 52 minutes,3,1,1,1,1
Bus,25,70,0.1,10,5,0,0,63 - 77 minutes,1,1,1,2,1
Taxi,10,50,0.2,0,0,5,5,40 - 60 minutes,1,1,1,3,1
Car|Bus,20,50,0.1,10,10,0,0,45 - 55 minutes,2,1,2,1,2
Uber/Lyft,10,50,0.2,0,0,10,10,40 - 60 minutes,1,1,2,2,2
Uber/Lyft|Bus,20,30,0.1,5,10,0,0,27 - 33 minutes,2,1,2,3,2
Taxi|Bus,25,40,0.05,10,5,0,5,38 - 42 minutes,2,1,3,1,3
Car|Bus,30,50,0.05,10,5,0,0,48 - 52 minutes,2,1,3,2,3
Uber/Lyft|Bus|Bus,15,30,0.2,5,5,5,10,24 - 36 minutes,3,1,3,3,3
Taxi|Bus,15,50,0.2,10,0,10,10,40 - 60 minutes,2,1,4,1,4
Uber/Lyft,15,50,0.1,0,0,0,5,45 - 55 minutes,1,1,4,2,4
Car,25,30,0.05,0,0,0,5,28 - 32 minutes,1,1,4,3,4
Car|Bus|Taxi,15,60,0.05,5,10,5,0,57 - 63 minutes,3,1,5,1,5
Bus|Bus|Uber/Lyft,30,60,0.1,10,10,10,10,54 - 66 minutes,3,1,5,2,5
Taxi|Bus,10,40,0.05,5,5,10,5,38 - 42 minutes,2,1,5,3,5
Car,30,70,0.1,0,0,0,0,63 - 77 minutes,1,1,6,1,6
Taxi|Bus|Bus,15,40,0.2,5,0,0,10,32 - 48 minutes,3,1,6,2,6
Car|Bus,15,60,0.1,5,10,0,0,54 - 66 minutes,2,1,6,3,6
Uber/Lyft|Bus|Bus,10,50,0.2,10,0,5,5,40 - 60 minutes,3,2,1,1,7
Car|Bus,15,60,0.1,5,10,0,10,54 - 66 minutes,2,2,1,2,7
Car|Bus,20,40,0.2,0,0,0,10,32 - 48 minutes,2,2,1,3,7
Uber/Lyft|Bus,20,40,0.1,5,0,5,5,36 - 44 minutes,2,2,2,1,8
Taxi,25,60,0.1,0,0,10,5,54 - 66 minutes,1,2,2,2,8
Car|Bus|Uber/Lyft,25,60,0.1,0,10,10,5,54 - 66 minutes,3,2,2,3,8
Uber/Lyft,25,30,0.1,0,0,10,5,27 - 33 minutes,1,2,3,1,9
Taxi,25,60,0.05,0,0,10,0,57 - 63 minutes,1,2,3,2,9
Car,20,60,0.05,0,0,0,0,57 - 63 minutes,1,2,3,3,9
Taxi|Bus|Bus,15,40,0.05,5,10,0,5,38 - 42 minutes,3,2,4,1,10
Taxi|Bus,20,60,0.05,0,10,10,5,57 - 63 minutes,2,2,4,2,10
Bus,25,50,0.2,10,10,0,10,40 - 60 minutes,1,2,4,3,10
Taxi,25,40,0.05,0,0,5,10,38 - 42 minutes,1,2,5,1,11
Car,10,30,0.2,0,0,0,0,24 - 36 minutes,1,2,5,2,11
Bus,20,30,0.1,0,10,0,0,27 - 33 minutes,1,2,5,3,11
Uber/Lyft|Bus,10,30,0.2,5,10,0,0,24 - 36 minutes,2,2,6,1,12
Car|Bus|Taxi,10,40,0.1,5,10,5,0,36 - 44 minutes,3,2,6,2,12
Bus|Bus|Taxi,10,40,0.1,10,10,5,0,36 - 44 minutes,3,2,6,3,12
Taxi,30,70,0.2,0,0,0,10,56 - 84 minutes,1,3,1,1,13
Bus,25,60,0.05,10,0,0,0,57 - 63 minutes,1,3,1,2,13
Bus|Bus|Taxi,20,30,0.2,10,0,5,0,24 - 36 minutes,3,3,1,3,13
Taxi|Bus,30,60,0.2,5,0,5,10,48 - 72 minutes,2,3,2,1,14
Car,10,40,0.05,0,0,0,10,38 - 42 minutes,1,3,2,2,14
Uber/Lyft|Bus,20,40,0.05,0,10,5,5,38 - 42 minutes,2,3,2,3,14
Car|Bus|Taxi,10,30,0.2,10,10,10,10,24 - 36 minutes,3,3,3,1,15
Car|Bus|Taxi,10,40,0.2,5,10,0,0,32 - 48 minutes,3,3,3,2,15
Uber/Lyft|Bus|Uber/Lyft,15,40,0.2,10,10,10,5,32 - 48 minutes,3,3,3,3,15
Car|Bus,15,30,0.05,5,10,0,0,28 - 32 minutes,2,3,4,1,16
Uber/Lyft|Bus,15,70,0.1,5,5,0,5,63 - 77 minutes,2,3,4,2,16
Bus|Bus,20,60,0.2,10,0,0,10,48 - 72 minutes,2,3,4,3,16
Uber/Lyft|Bus,10,50,0.05,5,0,5,10,48 - 52 minutes,2,3,5,1,17
Taxi|Bus,25,50,0.05,5,10,10,5,48 - 52 minutes,2,3,5,2,17
Bus,20,40,0.2,5,5,0,10,32 - 48 minutes,1,3,5,3,17
Uber/Lyft|Bus|Bus,25,50,0.2,5,0,0,10,40 - 60 minutes,3,3,6,1,18
Car|Bus|Taxi,30,50,0.1,10,5,0,10,45 - 55 minutes,3,3,6,2,18
Taxi|Bus,20,60,0.2,5,0,0,0,48 - 72 minutes,2,3,6,3,18
Uber/Lyft|Bus,10,70,0.05,5,0,5,0,66 - 74 minutes,2,4,1,1,19
Car|Bus|Uber/Lyft,15,60,0.2,5,0,5,0,48 - 72 minutes,3,4,1,2,19
Car,25,50,0.1,0,0,0,10,45 - 55 minutes,1,4,1,3,19
Taxi|Bus|Bus,30,30,0.1,0,10,10,0,27 - 33 minutes,3,4,2,1,20
Taxi,10,60,0.2,0,0,0,5,48 - 72 minutes,1,4,2,2,20
Taxi|Bus,25,60,0.2,0,5,0,5,48 - 72 minutes,2,4,2,3,20
