x,y,label,type,respID,qID,altID,obsID
0,0,Start,Node,121,1,1,721
0,-0.25,Car,Transit,121,1,1,721
0,-0.5,"Transfer
(10 min wait)",Node,121,1,1,721
0,-0.75,Bus,Transit,121,1,1,721
0,-1,Transfer,Node,121,1,1,721
0,-1.125,Walk (2 min),Transit,121,1,1,721
0,-1.25,End,Node,121,1,1,721
0,0,Start,Node,121,1,2,721
0,-0.25,Walk (10 min),Transit,121,1,2,721
0,-0.5,"Transfer
(2 min wait)",Node,121,1,2,721
0,-1,Bus,Transit,121,1,2,721
0,-1.5,Transfer,Node,121,1,2,721
0,-1.75,Walk (5 min),Transit,121,1,2,721
0,-2,End,Node,121,1,2,721
0,0,Start,Node,121,1,3,721
0,-0.25,Car,Transit,121,1,3,721
0,-0.5,"Transfer
(10 min wait)",Node,121,1,3,721
0,-0.75,Bus,Transit,121,1,3,721
0,-1,Transfer,Node,121,1,3,721
0,-1.125,Walk (10 min),Transit,121,1,3,721
0,-1.25,End,Node,121,1,3,721
0,0,Start,Node,121,2,1,722
0,-0.16666666666666666,Car,Transit,121,2,1,722
0,-0.3333333333333333,"Transfer
(10 min wait)",Node,121,2,1,722
0,-0.5,Bus,Transit,121,2,1,722
0,-0.6666666666666666,"Transfer
(10 min wait)",Node,121,2,1,722
0,-0.8333333333333333,Uber/Lyft,Transit,121,2,1,722
0,-1,End,Node,121,2,1,722
0,0,"Start
(10 min wait)",Node,121,2,2,722
0,-0.5,Taxi,Transit,121,2,2,722
0,-1,End,Node,121,2,2,722
0,0,Start,Node,121,2,3,722
0,-0.16666666666666666,Car,Transit,121,2,3,722
0,-0.3333333333333333,"Transfer
(10 min wait)",Node,121,2,3,722
0,-0.5,Bus,Transit,121,2,3,722
0,-0.6666666666666666,"Transfer
(10 min wait)",Node,121,2,3,722
0,-0.8333333333333333,Bus,Transit,121,2,3,722
0,-1,Transfer,Node,121,2,3,722
0,-1.0833333333333333,Walk (10 min),Transit,121,2,3,722
0,-1.1666666666666667,End,Node,121,2,3,722
0,0,Start,Node,121,3,1,723
0,-0.25,Car,Transit,121,3,1,723
0,-0.5,"Transfer
(10 min wait)",Node,121,3,1,723
0,-0.75,Bus,Transit,121,3,1,723
0,-1,Transfer,Node,121,3,1,723
0,-1.125,Walk (2 min),Transit,121,3,1,723
0,-1.25,End,Node,121,3,1,723
0,0,Start,Node,121,3,2,723
0,-0.5,Car,Transit,121,3,2,723
0,-1,End,Node,121,3,2,723
0,0,Start,Node,121,3,3,723
0,-0.25,Car,Transit,121,3,3,723
0,-0.5,"Transfer
(2 min wait)",Node,121,3,3,723
0,-0.75,Bus,Transit,121,3,3,723
0,-1,Transfer,Node,121,3,3,723
0,-1.125,Walk (10 min),Transit,121,3,3,723
0,-1.25,End,Node,121,3,3,723
0,0,Start,Node,121,4,1,724
0,-0.25,Walk (2 min),Transit,121,4,1,724
0,-0.5,"Transfer
(2 min wait)",Node,121,4,1,724
0,-1,Bus,Transit,121,4,1,724
0,-1.5,Transfer,Node,121,4,1,724
0,-1.75,Walk (5 min),Transit,121,4,1,724
0,-2,End,Node,121,4,1,724
0,0,Start,Node,121,4,2,724
0,-0.16666666666666666,Car,Transit,121,4,2,724
0,-0.3333333333333333,"Transfer
(10 min wait)",Node,121,4,2,724
0,-0.5,Bus,Transit,121,4,2,724
0,-0.6666666666666666,"Transfer
(10 min wait)",Node,121,4,2,724
0,-0.8333333333333333,Bus,Transit,121,4,2,724
0,-1,Transfer,Node,121,4,2,724
0,-1.0833333333333333,Walk (5 min),Transit,121,4,2,724
0,-1.1666666666666667,End,Node,121,4,2,724
0,0,"Start
(10 min wait)",Node,121,4,3,724
0,-0.16666666666666666,Uber/Lyft,Transit,121,4,3,724
0,-0.3333333333333333,"Transfer
(10 min wait)",Node,121,4,3,724
0,-0.5,Bus,Transit,121,4,3,724
0,-0.6666666666666666,"Transfer
(10 min wait)",Node,121,4,3,724
0,-0.8333333333333333,Bus,Transit,121,4,3,724
0,-1,Transfer,Node,121,4,3,724
0,-1.0833333333333333,Walk (10 min),Transit,121,4,3,724
0,-1.1666666666666667,End,Node,121,4,3,724
0,0,"Start
(5 min wait)",Node,121,5,1,725
0,-0.5,Taxi,Transit,121,5,1,725
0,-1,End,Node,121,5,1,725
0,0,Start,Node,121,5,2,725
0,-0.25,Car,Transit,121,5,2,725
0,-0.5,"Transfer
(5 min wait)",Node,121,5,2,725
0,-0.75,Bus,Transit,121,5,2,725
0,-1,Transfer,Node,121,5,2,725
0,-1.125,Walk (2 min),Transit,121,5,2,725
0,-1.25,End,Node,121,5,2,725
0,0,"Start
(10 min wait)",Node,121,5,3,725
0,-0.5,Uber/Lyft,Transit,121,5,3,725
0,-1,End,Node,121,5,3,725
0,0,"Start
(2 min wait)",Node,121,6,1,726
0,-0.16666666666666666,Taxi,Transit,121,6,1,726
0,-0.3333333333333333,"Transfer
(5 min wait)",Node,121,6,1,726
0,-0.5,Bus,Transit,121,6,1,726
0,-0.6666666666666666,"Transfer
(5 min wait)",Node,121,6,1,726
0,-0.8333333333333333,Bus,Transit,121,6,1,726
0,-1,Transfer,Node,121,6,1,726
0,-1.0833333333333333,Walk (10 min),Transit,121,6,1,726
0,-1.1666666666666667,End,Node,121,6,1,726
0,0,Start,Node,121,6,2,726
0,-0.25,Walk (2 min),Transit,121,6,2,726
0,-0.5,"Transfer
(10 min wait)",Node,121,6,2,726
0,-1,Bus,Transit,121,6,2,726
0,-1.5,Transfer,Node,121,6,2,726
0,-1.75,Walk (5 min),Transit,121,6,2,726
0,-2,End,Node,121,6,2,726
0,0,"Start
(10 min wait)",Node,121,6,3,726
0,-0.5,Taxi,Transit,121,6,3,726
0,-1,End,Node,121,6,3,726
