x,y,label,node,line,labelType,respID,qID,altID,obsID,price,timeRange
0,0,Start,0,0,Terminal,2365,1,1,14185,15,56 - 84 minutes
0,-0.25,"Walk
(5 min)",0,0,Transit,2365,1,1,14185,15,56 - 84 minutes
0,-0.5,"Transfer
(5 min wait)",1,1,Node,2365,1,1,14185,15,56 - 84 minutes
0,-1,Bus,0,0,Transit,2365,1,1,14185,15,56 - 84 minutes
0,-1.5,Transfer,1,1,Node,2365,1,1,14185,15,56 - 84 minutes
0,-1.75,"Walk
(10 min)",0,0,Transit,2365,1,1,14185,15,56 - 84 minutes
0,-2,End,0,0,Terminal,2365,1,1,14185,15,56 - 84 minutes
0,0,Start,0,1,Terminal,2365,1,2,14185,30,45 - 55 minutes
0,-0.16666666666666666,Car,0,0,Transit,2365,1,2,14185,30,45 - 55 minutes
0,-0.3333333333333333,"Transfer
(10 min wait)",1,0,Node,2365,1,2,14185,30,45 - 55 minutes
0,-0.5,Bus,0,0,Transit,2365,1,2,14185,30,45 - 55 minutes
0,-0.6666666666666666,"Transfer
(10 min wait)",1,0,Node,2365,1,2,14185,30,45 - 55 minutes
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,2365,1,2,14185,30,45 - 55 minutes
0,-1,End,0,1,Terminal,2365,1,2,14185,30,45 - 55 minutes
0,0,Start,0,1,Terminal,2365,1,3,14185,20,57 - 63 minutes
0,-0.5,Car,0,0,Transit,2365,1,3,14185,20,57 - 63 minutes
0,-1,End,0,1,Terminal,2365,1,3,14185,20,57 - 63 minutes
0,0,"Start
(2 min wait)",0,1,Terminal,2365,2,1,14186,20,50 - 62 minutes
0,-0.16666666666666666,Uber/Lyft,0,0,Transit,2365,2,1,14186,20,50 - 62 minutes
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,2365,2,1,14186,20,50 - 62 minutes
0,-0.5,Bus,0,0,Transit,2365,2,1,14186,20,50 - 62 minutes
0,-0.6666666666666666,"Transfer
(2 min wait)",1,0,Node,2365,2,1,14186,20,50 - 62 minutes
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,2365,2,1,14186,20,50 - 62 minutes
0,-1,End,0,1,Terminal,2365,2,1,14186,20,50 - 62 minutes
0,0,"Start
(2 min wait)",0,1,Terminal,2365,2,2,14186,10,30 - 34 minutes
0,-0.5,Taxi,0,0,Transit,2365,2,2,14186,10,30 - 34 minutes
0,-1,End,0,1,Terminal,2365,2,2,14186,10,30 - 34 minutes
0,0,"Start
(2 min wait)",0,1,Terminal,2365,2,3,14186,15,38 - 46 minutes
0,-0.5,Taxi,0,0,Transit,2365,2,3,14186,15,38 - 46 minutes
0,-1,End,0,1,Terminal,2365,2,3,14186,15,38 - 46 minutes
0,0,"Start
(5 min wait)",0,1,Terminal,2365,3,1,14187,15,38 - 42 minutes
0,-0.16666666666666666,Uber/Lyft,0,0,Transit,2365,3,1,14187,15,38 - 42 minutes
0,-0.3333333333333333,"Transfer
(10 min wait)",1,0,Node,2365,3,1,14187,15,38 - 42 minutes
0,-0.5,Bus,0,0,Transit,2365,3,1,14187,15,38 - 42 minutes
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,2365,3,1,14187,15,38 - 42 minutes
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,2365,3,1,14187,15,38 - 42 minutes
0,-1,End,0,1,Terminal,2365,3,1,14187,15,38 - 42 minutes
0,0,"Start
(2 min wait)",0,1,Terminal,2365,3,2,14187,15,28 - 30 minutes
0,-0.25,Taxi,0,0,Transit,2365,3,2,14187,15,28 - 30 minutes
0,-0.5,"Transfer
(5 min wait)",1,0,Node,2365,3,2,14187,15,28 - 30 minutes
0,-0.75,Bus,0,0,Transit,2365,3,2,14187,15,28 - 30 minutes
0,-1,Transfer,1,1,Node,2365,3,2,14187,15,28 - 30 minutes
0,-1.125,"Walk
(2 min)",0,0,Transit,2365,3,2,14187,15,28 - 30 minutes
0,-1.25,End,0,0,Terminal,2365,3,2,14187,15,28 - 30 minutes
0,0,"Start
(5 min wait)",0,1,Terminal,2365,3,3,14187,10,40 - 50 minutes
0,-0.5,Taxi,0,0,Transit,2365,3,3,14187,10,40 - 50 minutes
0,-1,End,0,1,Terminal,2365,3,3,14187,10,40 - 50 minutes
0,0,"Start
(10 min wait)",0,1,Terminal,2365,4,1,14188,20,57 - 63 minutes
0,-0.16666666666666666,Uber/Lyft,0,0,Transit,2365,4,1,14188,20,57 - 63 minutes
0,-0.3333333333333333,"Transfer
(10 min wait)",1,0,Node,2365,4,1,14188,20,57 - 63 minutes
0,-0.5,Bus,0,0,Transit,2365,4,1,14188,20,57 - 63 minutes
0,-0.6666666666666666,"Transfer
(10 min wait)",1,0,Node,2365,4,1,14188,20,57 - 63 minutes
0,-0.8333333333333333,Bus,0,0,Transit,2365,4,1,14188,20,57 - 63 minutes
0,-1,Transfer,1,1,Node,2365,4,1,14188,20,57 - 63 minutes
0,-1.0833333333333333,"Walk
(10 min)",0,0,Transit,2365,4,1,14188,20,57 - 63 minutes
0,-1.1666666666666667,End,0,0,Terminal,2365,4,1,14188,20,57 - 63 minutes
0,0,"Start
(10 min wait)",0,1,Terminal,2365,4,2,14188,20,40 - 60 minutes
0,-0.5,Uber/Lyft,0,0,Transit,2365,4,2,14188,20,40 - 60 minutes
0,-1,End,0,1,Terminal,2365,4,2,14188,20,40 - 60 minutes
0,0,Start,0,0,Terminal,2365,4,3,14188,15,34 - 50 minutes
0,-0.25,"Walk
(5 min)",0,0,Transit,2365,4,3,14188,15,34 - 50 minutes
0,-0.5,"Transfer
(2 min wait)",1,1,Node,2365,4,3,14188,15,34 - 50 minutes
0,-1,Bus,0,0,Transit,2365,4,3,14188,15,34 - 50 minutes
0,-1.5,Transfer,1,1,Node,2365,4,3,14188,15,34 - 50 minutes
0,-1.75,"Walk
(5 min)",0,0,Transit,2365,4,3,14188,15,34 - 50 minutes
0,-2,End,0,0,Terminal,2365,4,3,14188,15,34 - 50 minutes
0,0,Start,0,1,Terminal,2365,5,1,14189,15,44 - 48 minutes
0,-0.16666666666666666,Car,0,0,Transit,2365,5,1,14189,15,44 - 48 minutes
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,2365,5,1,14189,15,44 - 48 minutes
0,-0.5,Bus,0,0,Transit,2365,5,1,14189,15,44 - 48 minutes
0,-0.6666666666666666,"Transfer
(2 min wait)",1,0,Node,2365,5,1,14189,15,44 - 48 minutes
