x,y,label,node,labelType,lineNodes,respID,qID,altID,obsID,price,timeRange
0,0,"Start
(10 min wait)",0,Terminal,1,4164,1,1,24979,15,28 - 32 minutes
0,-0.5,Taxi,0,Transit,1,4164,1,1,24979,15,28 - 32 minutes
0,-1,End,0,Terminal,1,4164,1,1,24979,15,28 - 32 minutes
0,0,"Start
(2 min wait)",0,Terminal,1,4164,1,2,24979,10,64 - 78 minutes
0,-0.16129032258064516,Taxi,0,Transit,1,4164,1,2,24979,10,64 - 78 minutes
0,-0.3225806451612903,"Transfer
(2 min wait)",1,Node,1,4164,1,2,24979,10,64 - 78 minutes
0,-0.4838709677419355,Bus,0,Transit,1,4164,1,2,24979,10,64 - 78 minutes
0,-0.6451612903225806,"Transfer
(5 min wait)",1,Node,1,4164,1,2,24979,10,64 - 78 minutes
0,-0.7625806451612903,Bus,0,Transit,1,4164,1,2,24979,10,64 - 78 minutes
0,-0.88,Transfer,1,Node,1,4164,1,2,24979,10,64 - 78 minutes
0,-0.94,"Walk
(2 min)",0,Transit,0,4164,1,2,24979,10,64 - 78 minutes
0,-1,End,0,Terminal,0,4164,1,2,24979,10,64 - 78 minutes
0,0,Start,0,Terminal,1,4164,1,3,24979,30,27 - 41 minutes
0,-0.15151515151515152,Car,0,Transit,1,4164,1,3,24979,30,27 - 41 minutes
0,-0.30303030303030304,"Transfer
(10 min wait)",1,Node,1,4164,1,3,24979,30,27 - 41 minutes
0,-0.4545454545454546,Bus,0,Transit,1,4164,1,3,24979,30,27 - 41 minutes
0,-0.6060606060606061,"Transfer
(2 min wait)",1,Node,1,4164,1,3,24979,30,27 - 41 minutes
0,-0.743030303030303,Bus,0,Transit,1,4164,1,3,24979,30,27 - 41 minutes
0,-0.88,Transfer,1,Node,1,4164,1,3,24979,30,27 - 41 minutes
0,-0.94,"Walk
(2 min)",0,Transit,0,4164,1,3,24979,30,27 - 41 minutes
0,-1,End,0,Terminal,0,4164,1,3,24979,30,27 - 41 minutes
0,0,Start,0,Terminal,1,4164,2,1,24980,40,50 - 61 minutes
0,-0.14285714285714285,Car,0,Transit,1,4164,2,1,24980,40,50 - 61 minutes
0,-0.2857142857142857,Transfer,1,Node,1,4164,2,1,24980,40,50 - 61 minutes
0,-0.3571428571428571,"Walk
(5 min)",0,Transit,0,4164,2,1,24980,40,50 - 61 minutes
0,-0.42857142857142855,"Transfer
(10 min wait)",1,Node,2,4164,2,1,24980,40,50 - 61 minutes
0,-0.5714285714285714,Bus,0,Transit,2,4164,2,1,24980,40,50 - 61 minutes
0,-0.7142857142857142,Transfer,1,Node,2,4164,2,1,24980,40,50 - 61 minutes
0,-0.8571428571428571,"Walk
(10 min)",0,Transit,0,4164,2,1,24980,40,50 - 61 minutes
0,-1,End,0,Terminal,0,4164,2,1,24980,40,50 - 61 minutes
0,0,"Start
(10 min wait)",0,Terminal,1,4164,2,2,24980,30,50 - 61 minutes
0,-0.4,Taxi,0,Transit,1,4164,2,2,24980,30,50 - 61 minutes
0,-0.8,Transfer,1,Node,1,4164,2,2,24980,30,50 - 61 minutes
0,-0.9,"Walk
(5 min)",0,Transit,0,4164,2,2,24980,30,50 - 61 minutes
0,-1,End,0,Terminal,0,4164,2,2,24980,30,50 - 61 minutes
0,0,Start,0,Terminal,1,4164,2,3,24980,40,68 - 82 minutes
0,-0.16666666666666666,"Car
(Express)",0,Transit,1,4164,2,3,24980,40,68 - 82 minutes
0,-0.3333333333333333,"Transfer
(5 min wait)",1,Node,1,4164,2,3,24980,40,68 - 82 minutes
0,-0.5,Bus,0,Transit,1,4164,2,3,24980,40,68 - 82 minutes
0,-0.6666666666666666,"Transfer
(10 min wait)",1,Node,1,4164,2,3,24980,40,68 - 82 minutes
0,-0.8333333333333333,Uber/Lyft,0,Transit,1,4164,2,3,24980,40,68 - 82 minutes
0,-1,End,0,Terminal,1,4164,2,3,24980,40,68 - 82 minutes
0,0,"Start
(5 min wait)",0,Terminal,1,4164,3,1,24981,10,78 - 96 minutes
0,-0.16666666666666666,Uber/Lyft,0,Transit,1,4164,3,1,24981,10,78 - 96 minutes
0,-0.3333333333333333,Transfer,1,Node,1,4164,3,1,24981,10,78 - 96 minutes
0,-0.41666666666666663,"Walk
(10 min)",0,Transit,0,4164,3,1,24981,10,78 - 96 minutes
0,-0.5,"Transfer
(2 min wait)",1,Node,2,4164,3,1,24981,10,78 - 96 minutes
0,-0.6666666666666666,Bus,0,Transit,2,4164,3,1,24981,10,78 - 96 minutes
