x,y,label,node,labelType,lineNodes,respID,qID,altID,obsID,price,timeRange
0,0,"Start
(10 min wait)",0,Terminal,1,371,1,1,2221,20,52 - 78 minutes
0,-0.2,"Bus
(20 mins)",0,Transit,1,371,1,1,2221,20,52 - 78 minutes
0,-0.4,Transfer,1,Node,1,371,1,1,2221,20,52 - 78 minutes
0,-0.5,"Walk
(10 mins)",0,Transit,0,371,1,1,2221,20,52 - 78 minutes
0,-0.6000000000000001,"Transfer
(5 min wait)",1,Node,2,371,1,1,2221,20,52 - 78 minutes
0,-0.8,"Bus
(20 mins)",0,Transit,2,371,1,1,2221,20,52 - 78 minutes
0,-1,End,0,Terminal,2,371,1,1,2221,20,52 - 78 minutes
0,0,"Start
(10 min wait)",0,Terminal,1,371,1,2,2221,20,78 - 96 minutes
0,-0.14285714285714285,"Bus
(20 mins)",0,Transit,1,371,1,2,2221,20,78 - 96 minutes
0,-0.2857142857142857,"Transfer
(5 min wait)",1,Node,1,371,1,2,2221,20,78 - 96 minutes
0,-0.46428571428571425,"Bus
(25 mins)",0,Transit,1,371,1,2,2221,20,78 - 96 minutes
0,-0.6428571428571428,"Transfer
(2 min wait)",1,Node,1,371,1,2,2221,20,78 - 96 minutes
0,-0.8214285714285714,"Uber/Lyft
(25 mins)",0,Transit,1,371,1,2,2221,20,78 - 96 minutes
0,-1,End,0,Terminal,1,371,1,2,2221,20,78 - 96 minutes
0,0,Start,0,Terminal,1,371,1,3,2221,30,40 - 50 minutes
0,-0.44,"Car
(40 mins)",0,Transit,1,371,1,3,2221,30,40 - 50 minutes
0,-0.88,Transfer,1,Node,1,371,1,3,2221,30,40 - 50 minutes
0,-0.94,"Walk
(5 mins)",0,Transit,0,371,1,3,2221,30,40 - 50 minutes
0,-1,End,0,Terminal,0,371,1,3,2221,30,40 - 50 minutes
0,0,Start,0,Terminal,1,371,2,1,2222,20,48 - 52 minutes
0,-0.4,"Car:
Express
(40 mins)",0,Transit,1,371,2,1,2222,20,48 - 52 minutes
0,-0.8,Transfer,1,Node,1,371,2,1,2222,20,48 - 52 minutes
0,-0.9,"Walk
(10 mins)",0,Transit,0,371,2,1,2222,20,48 - 52 minutes
0,-1,End,0,Terminal,0,371,2,1,2222,20,48 - 52 minutes
0,0,"Start
(10 min wait)",0,Terminal,1,371,2,2,2222,25,18 - 22 minutes
0,-0.5,"Uber/Lyft
(10 mins)",0,Transit,1,371,2,2,2222,25,18 - 22 minutes
0,-1,End,0,Terminal,1,371,2,2,2222,25,18 - 22 minutes
0,0,Start,0,Terminal,1,371,2,3,2222,15,28 - 42 minutes
0,-0.2857142857142857,"Car:
Express
(20 mins)",0,Transit,1,371,2,3,2222,15,28 - 42 minutes
0,-0.5714285714285714,Transfer,1,Node,1,371,2,3,2222,15,28 - 42 minutes
0,-0.7857142857142857,"Walk
(15 mins)",0,Transit,0,371,2,3,2222,15,28 - 42 minutes
0,-1,End,0,Terminal,0,371,2,3,2222,15,28 - 42 minutes
0,0,Start,0,Terminal,1,371,3,1,2223,25,27 - 33 minutes
0,-0.5,"Car:
Express
(30 mins)",0,Transit,1,371,3,1,2223,25,27 - 33 minutes
0,-1,End,0,Terminal,1,371,3,1,2223,25,27 - 33 minutes
0,0,"Start
(5 min wait)",0,Terminal,1,371,3,2,2223,20,24 - 26 minutes
0,-0.5,"Taxi
(20 mins)",0,Transit,1,371,3,2,2223,20,24 - 26 minutes
0,-1,End,0,Terminal,1,371,3,2,2223,20,24 - 26 minutes
0,0,Start,0,Terminal,1,371,3,3,2223,10,22 - 28 minutes
0,-0.3,"Car:
Express
(15 mins)",0,Transit,1,371,3,3,2223,10,22 - 28 minutes
0,-0.6,Transfer,1,Node,1,371,3,3,2223,10,22 - 28 minutes
0,-0.8,"Walk
(10 mins)",0,Transit,0,371,3,3,2223,10,22 - 28 minutes
0,-1,End,0,Terminal,0,371,3,3,2223,10,22 - 28 minutes
0,0,Start,0,Terminal,1,371,4,1,2224,10,9 - 11 minutes
0,-0.5,"Car
(10 mins)",0,Transit,1,371,4,1,2224,10,9 - 11 minutes
0,-1,End,0,Terminal,1,371,4,1,2224,10,9 - 11 minutes
0,0,Start,0,Terminal,1,371,4,2,2224,10,28 - 32 minutes
0,-0.5,"Car
(30 mins)",0,Transit,1,371,4,2,2224,10,28 - 32 minutes
0,-1,End,0,Terminal,1,371,4,2,2224,10,28 - 32 minutes
0,0,"Start
(10 min wait)",0,Terminal,1,371,4,3,2224,15,68 - 76 minutes
0,-0.15,"Bus
(15 mins)",0,Transit,1,371,4,3,2224,15,68 - 76 minutes
0,-0.3,"Transfer
(10 min wait)",1,Node,1,371,4,3,2224,15,68 - 76 minutes
0,-0.5,"Bus
(20 mins)",0,Transit,1,371,4,3,2224,15,68 - 76 minutes
0,-0.7,"Transfer
(2 min wait)",1,Node,1,371,4,3,2224,15,68 - 76 minutes
0,-0.85,"Bus
(15 mins)",0,Transit,1,371,4,3,2224,15,68 - 76 minutes
0,-1,End,0,Terminal,1,371,4,3,2224,15,68 - 76 minutes
0,0,"Start
(5 min wait)",0,Terminal,1,371,5,1,2225,20,72 - 108 minutes
0,-0.15384615384615385,"Bus
(20 mins)",0,Transit,1,371,5,1,2225,20,72 - 108 minutes
0,-0.3076923076923077,"Transfer
(10 min wait)",1,Node,1,371,5,1,2225,20,72 - 108 minutes
