x,y,label,times,node,labelType,lineNodes,respID,qID,altID,obsID,price,timeRange
0,0,Start,2 min wait,0,Terminal,1,5078,1,1,30463,30,55 - 83 minutes
0,-0.23076923076923078,Bus,30 mins,0,Transit,1,5078,1,1,30463,30,55 - 83 minutes
0,-0.46153846153846156,Transfer,Transfer,1,Node,1,5078,1,1,30463,30,55 - 83 minutes
0,-0.5769230769230769,Walk,15 mins,0,Transit,0,5078,1,1,30463,30,55 - 83 minutes
0,-0.6923076923076923,Transfer,2 min wait,1,Node,2,5078,1,1,30463,30,55 - 83 minutes
0,-0.8461538461538461,Bus,20 mins,0,Transit,2,5078,1,1,30463,30,55 - 83 minutes
0,-1,End,,0,Terminal,2,5078,1,1,30463,30,55 - 83 minutes
0,0,Start,10 min wait,0,Terminal,1,5078,1,2,30463,25,32 - 48 minutes
0,-0.5,Bus,30 mins,0,Transit,1,5078,1,2,30463,25,32 - 48 minutes
0,-1,End,,0,Terminal,1,5078,1,2,30463,25,32 - 48 minutes
0,0,Start,2 min wait,0,Terminal,1,5078,1,3,30463,20,20 - 24 minutes
0,-0.5,Taxi,20 mins,0,Transit,1,5078,1,3,30463,20,20 - 24 minutes
0,-1,End,,0,Terminal,1,5078,1,3,30463,20,20 - 24 minutes
0,0,Start,2 min wait,0,Terminal,1,5078,2,1,30464,30,10 - 14 minutes
0,-0.5,Bus,10 mins,0,Transit,1,5078,2,1,30464,30,10 - 14 minutes
0,-1,End,,0,Terminal,1,5078,2,1,30464,30,10 - 14 minutes
0,0,Start,Transfer,0,Terminal,1,5078,2,2,30464,10,40 - 44 minutes
0,-0.25,"Car:
Express",20 mins,0,Transit,1,5078,2,2,30464,10,40 - 44 minutes
0,-0.5,Transfer,2 min wait,1,Node,1,5078,2,2,30464,10,40 - 44 minutes
0,-0.75,Bus,20 mins,0,Transit,1,5078,2,2,30464,10,40 - 44 minutes
0,-1,End,,0,Terminal,1,5078,2,2,30464,10,40 - 44 minutes
0,0,Start,Transfer,0,Terminal,1,5078,2,3,30464,15,12 - 18 minutes
0,-0.5,Car,15 mins,0,Transit,1,5078,2,3,30464,15,12 - 18 minutes
0,-1,End,,0,Terminal,1,5078,2,3,30464,15,12 - 18 minutes
0,0,Start,10 min wait,0,Terminal,1,5078,3,1,30465,15,20 - 30 minutes
0,-0.5,Taxi,15 mins,0,Transit,1,5078,3,1,30465,15,20 - 30 minutes
0,-1,End,,0,Terminal,1,5078,3,1,30465,15,20 - 30 minutes
0,0,Start,2 min wait,0,Terminal,1,5078,3,2,30465,10,26 - 38 minutes
