x,y,label,times,node,labelType,lineNodes,respID,qID,altID,obsID,price,timeRange
0,0,Start,5 min wait,0,Terminal,1,1458,1,1,8743,25,24 - 26 minutes
0,-0.5,Uber/Lyft,20 mins,0,Transit,1,1458,1,1,8743,25,24 - 26 minutes
0,-1,End,,0,Terminal,1,1458,1,1,8743,25,24 - 26 minutes
0,0,Start,5 min wait,0,Terminal,1,1458,1,2,8743,30,45 - 55 minutes
0,-0.3333333333333333,Bus,30 mins,0,Transit,1,1458,1,2,8743,30,45 - 55 minutes
0,-0.6666666666666666,Transfer,Transfer,1,Node,1,1458,1,2,8743,30,45 - 55 minutes
0,-0.8333333333333333,Walk,15 mins,0,Transit,0,1458,1,2,8743,30,45 - 55 minutes
0,-1,End,,0,Terminal,0,1458,1,2,8743,30,45 - 55 minutes
0,0,Start,10 min wait,0,Terminal,1,1458,1,3,8743,10,36 - 54 minutes
0,-0.42857142857142855,Bus,30 mins,0,Transit,1,1458,1,3,8743,10,36 - 54 minutes
0,-0.8571428571428571,Transfer,Transfer,1,Node,1,1458,1,3,8743,10,36 - 54 minutes
0,-0.9285714285714286,Walk,5 mins,0,Transit,0,1458,1,3,8743,10,36 - 54 minutes
0,-1,End,,0,Terminal,0,1458,1,3,8743,10,36 - 54 minutes
0,0,Start,10 min wait,0,Terminal,1,1458,2,1,8744,15,22 - 28 minutes
0,-0.5,Uber/Lyft,15 mins,0,Transit,1,1458,2,1,8744,15,22 - 28 minutes
0,-1,End,,0,Terminal,1,1458,2,1,8744,15,22 - 28 minutes
0,0,Start,10 min wait,0,Terminal,1,1458,2,2,8744,30,36 - 44 minutes
0,-0.5,Uber/Lyft,30 mins,0,Transit,1,1458,2,2,8744,30,36 - 44 minutes
0,-1,End,,0,Terminal,1,1458,2,2,8744,30,36 - 44 minutes
0,0,Start,2 min wait,0,Terminal,1,1458,2,3,8744,30,38 - 42 minutes
0,-0.15151515151515152,Bus,10 mins,0,Transit,1,1458,2,3,8744,30,38 - 42 minutes
0,-0.30303030303030304,Transfer,Transfer,1,Node,1,1458,2,3,8744,30,38 - 42 minutes
0,-0.3484848484848485,Walk,3 mins,0,Transit,0,1458,2,3,8744,30,38 - 42 minutes
