leg1Mode,leg2Mode,leg3Mode,price,leg1Time,leg2Time,leg3Time,transfer1Time,transfer2Time,transfer3Time,tripTimeUnc,numLegs,lastLegMode,trip,carInTrip,expressInTrip,walkInTrip,busInTrip,taxiInTrip,uberInTrip,totalLegTime,totalWaitTime,totalTripTime,tripTimeMax,tripTimeRange,rowID,respID,qID,altID,obsID
Uber/Lyft,Walk,None,25,10,10,0,10,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,20,10,30,32,30 - 32 minutes,3259,1,1,1,1
Uber/Lyft,Bus,Walk,10,30,15,10,10,2,0,0.05,3,Walk,Uber/Lyft|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,55,12,67,71,67 - 71 minutes,3871,1,1,2,1
Bus,Bus,Walk,2,15,10,10,2,5,0,0.1,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,7,42,47,42 - 47 minutes,21339,1,1,3,1
Taxi,None,None,10,10,0,0,10,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,10,20,21,20 - 21 minutes,3212,1,2,1,2
Walk,Bus,Taxi,15,15,10,10,0,10,10,0.1,3,Taxi,Walk|Bus|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,35,20,55,61,55 - 61 minutes,32633,1,2,2,2
Bus,Walk,Bus,2,15,15,15,2,0,5,0.2,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,45,7,52,63,52 - 63 minutes,44086,1,2,3,2
Taxi,Walk,None,15,30,10,0,5,0,0,0.05,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,40,5,45,48,45 - 48 minutes,2093,1,3,1,3
Uber/Lyft,Walk,None,15,20,15,0,2,0,0,0.1,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,35,2,37,41,37 - 41 minutes,17249,1,3,2,3
Walk,Bus,None,2,15,10,0,0,10,0,0.1,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,25,10,35,39,35 - 39 minutes,24234,1,3,3,3
Walk,Bus,None,10,10,10,0,0,2,0,0.05,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,20,2,22,24,22 - 24 minutes,27,1,4,1,4
Bus,Bus,Walk,2,30,20,10,10,2,0,0.1,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,60,12,72,80,72 - 80 minutes,20695,1,4,2,4
Taxi,None,None,30,25,0,0,5,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,5,30,32,30 - 32 minutes,2045,1,4,3,4
Taxi,None,None,15,10,0,0,5,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,5,15,16,15 - 16 minutes,1775,1,5,1,5
Bus,Walk,Taxi,25,10,15,10,2,0,5,0.05,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,35,7,42,45,42 - 45 minutes,10580,1,5,2,5
Uber/Lyft,None,None,20,10,0,0,5,0,0,0.05,1,Uber/Lyft,Uber/Lyft,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,5,15,16,15 - 16 minutes,1786,1,5,3,5
Bus,Walk,Bus,10,25,15,20,2,0,5,0.05,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,60,7,67,71,67 - 71 minutes,11143,1,6,1,6
Uber/Lyft,Walk,None,25,15,15,0,2,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,30,2,32,34,32 - 34 minutes,577,1,6,2,6
Bus,Walk,Taxi,30,15,10,20,2,0,2,0.05,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,45,4,49,52,49 - 52 minutes,1548,1,6,3,6
Taxi,Bus,Walk,10,15,15,15,5,10,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,45,15,60,72,60 - 72 minutes,42643,2,1,1,7
Taxi,None,None,30,25,0,0,5,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,5,30,32,30 - 32 minutes,2045,2,1,2,7
Taxi,None,None,25,10,0,0,10,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,10,20,21,20 - 21 minutes,3254,2,1,3,7
