leg1Mode,leg2Mode,leg3Mode,price,expressFee,leg1Time,leg2Time,leg3Time,transfer1Time,transfer2Time,transfer3Time,tripTimeUnc,numLegs,lastLegMode,trip,carInTrip,expressInTrip,walkInTrip,busInTrip,taxiInTrip,uberInTrip,priceOrig,totalLegTime,totalWaitTime,totalTripTime,tripTimeMax,tripTimeRange,rowID,respID,qID,altID,obsID
Car,Bus,None,10,5,40,20,0,0,2,0,0.2,2,Bus,Car|Bus,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5,60,2,62,75,62 - 75 minutes,41791,1,1,1,1
"Car:
Express",Walk,None,35,5,15,10,0,0,0,0,0.1,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,25,0,25,28,25 - 28 minutes,20003,1,1,2,1
"Car:
Express",Walk,None,40,10,20,15,0,0,0,0,0.2,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,35,0,35,42,35 - 42 minutes,40935,1,1,3,1
Uber/Lyft,Bus,Walk,10,0,10,20,15,10,2,0,0.05,3,Walk,Uber/Lyft|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,10,45,12,57,60,57 - 60 minutes,5916,1,2,1,2
Taxi,None,None,10,0,15,0,0,5,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,15,5,20,22,20 - 22 minutes,22994,1,2,2,2
Car,None,None,45,15,10,0,0,0,0,0,0.05,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30,10,0,10,11,10 - 11 minutes,218,1,2,3,2
Car,None,None,17,15,10,0,0,0,0,0,0.05,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,10,0,10,11,10 - 11 minutes,182,1,3,1,3
Car,None,None,20,10,30,0,0,0,0,0,0.05,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,30,0,30,32,30 - 32 minutes,987,1,3,2,3
Taxi,Bus,None,20,0,10,10,0,10,5,0,0.1,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,20,20,15,35,39,35 - 39 minutes,28621,1,3,3,3
"Car:
Express",Walk,None,30,5,25,10,0,0,0,0,0.05,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,25,35,0,35,37,35 - 37 minutes,748,1,4,1,4
Uber/Lyft,None,None,15,0,30,0,0,2,0,0,0.2,1,Uber/Lyft,Uber/Lyft,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,15,30,2,32,39,32 - 39 minutes,40197,1,4,2,4
"Car:
Express",None,None,20,15,15,0,0,0,0,0,0.2,1,"Car:
Express","Car:
Express",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,15,0,15,18,15 - 18 minutes,39706,1,4,3,4
"Car:
Express",Walk,None,7,5,25,10,0,0,0,0,0.2,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,35,0,35,42,35 - 42 minutes,39953,1,5,1,5
Uber/Lyft,Bus,Walk,10,0,25,15,15,2,2,0,0.05,3,Walk,Uber/Lyft|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,10,55,4,59,62,59 - 62 minutes,2843,1,5,2,5
