trip,price,tripTime,tripTimeUnc,walkTimeStart,walkTimeEnd,taxiWaitTime,busWaitTime,tripTimeRange,respID,qID,altID,obsID
Car | Bus | Uber/Lyft,30,50,0.05,5,5,10,5,48 - 52 minutes,1,1,1,1
Bus | Bus | Uber/Lyft,15,70,0.05,10,5,10,10,66 - 74 minutes,1,1,2,1
Uber/Lyft | Bus | Taxi,20,50,0.2,5,5,10,5,40 - 60 minutes,1,1,3,1
Bus,25,60,0.1,10,10,10,5,54 - 66 minutes,1,2,1,2
Taxi | Bus,20,30,0.1,10,10,5,10,27 - 33 minutes,1,2,2,2
Uber/Lyft | Bus | Taxi,20,30,0.1,10,5,5,10,27 - 33 minutes,1,2,3,2
Car,25,40,0.2,5,10,5,10,32 - 48 minutes,1,3,1,3
Car,20,70,0.2,10,10,5,5,56 - 84 minutes,1,3,2,3
Car | Bus,30,50,0.2,10,5,5,5,40 - 60 minutes,1,3,3,3
Car | Bus | Bus,15,40,0.2,0,0,5,5,32 - 48 minutes,1,4,1,4
Taxi | Bus,25,40,0.2,5,10,5,5,32 - 48 minutes,1,4,2,4
Car | Bus | Bus,25,30,0.05,0,10,10,5,28 - 32 minutes,1,4,3,4
Car | Bus | Taxi,15,70,0.05,0,10,5,5,66 - 74 minutes,1,5,1,5
Uber/Lyft | Bus | Uber/Lyft,25,40,0.1,5,5,10,10,36 - 44 minutes,1,5,2,5
Car | Bus | Taxi,25,60,0.2,5,10,10,10,48 - 72 minutes,1,5,3,5
Uber/Lyft,10,40,0.1,10,5,5,10,36 - 44 minutes,1,6,1,6
Uber/Lyft | Bus,25,60,0.1,5,10,5,5,54 - 66 minutes,1,6,2,6
Bus | Bus | Taxi,15,30,0.05,0,5,5,10,28 - 32 minutes,1,6,3,6
Taxi | Bus | Taxi,20,30,0.2,5,10,10,10,24 - 36 minutes,2,1,1,7
Taxi,20,30,0.2,5,5,5,5,24 - 36 minutes,2,1,2,7
Taxi | Bus,10,50,0.05,5,5,10,5,48 - 52 minutes,2,1,3,7
Taxi | Bus,10,40,0.2,0,10,10,5,32 - 48 minutes,2,2,1,8
Car | Bus | Taxi,15,50,0.05,10,5,10,5,48 - 52 minutes,2,2,2,8
Uber/Lyft | Bus | Taxi,25,50,0.05,10,5,5,5,48 - 52 minutes,2,2,3,8
Taxi | Bus | Bus,15,50,0.2,0,5,10,10,40 - 60 minutes,2,3,1,9
Bus,20,60,0.1,5,0,10,10,54 - 66 minutes,2,3,2,9
Taxi | Bus | Bus,15,30,0.2,0,0,5,10,24 - 36 minutes,2,3,3,9
Uber/Lyft | Bus,25,50,0.1,10,0,5,5,45 - 55 minutes,2,4,1,10
Uber/Lyft | Bus | Bus,15,40,0.2,0,10,10,5,32 - 48 minutes,2,4,2,10
Car | Bus | Bus,10,70,0.2,5,5,5,10,56 - 84 minutes,2,4,3,10
Uber/Lyft | Bus | Taxi,15,50,0.05,5,0,5,5,48 - 52 minutes,2,5,1,11
Car | Bus | Bus,20,70,0.05,0,5,10,5,66 - 74 minutes,2,5,2,11
Uber/Lyft | Bus | Taxi,15,40,0.05,10,0,10,5,38 - 42 minutes,2,5,3,11
Taxi | Bus | Uber/Lyft,10,30,0.1,5,0,10,10,27 - 33 minutes,2,6,1,12
Bus | Bus | Bus,25,50,0.2,5,5,5,5,40 - 60 minutes,2,6,2,12
Uber/Lyft | Bus | Uber/Lyft,15,60,0.1,5,0,5,10,54 - 66 minutes,2,6,3,12
Car | Bus | Taxi,20,50,0.05,5,0,5,10,48 - 52 minutes,3,1,1,13
Taxi | Bus | Taxi,15,40,0.1,5,10,10,5,36 - 44 minutes,3,1,2,13
Uber/Lyft | Bus,25,40,0.1,10,5,5,5,36 - 44 minutes,3,1,3,13
Uber/Lyft | Bus | Taxi,20,30,0.2,0,10,5,10,24 - 36 minutes,3,2,1,14
Taxi | Bus | Taxi,20,30,0.05,10,5,10,5,28 - 32 minutes,3,2,2,14
Uber/Lyft | Bus | Uber/Lyft,30,50,0.1,5,0,10,5,45 - 55 minutes,3,2,3,14
Car | Bus | Uber/Lyft,15,30,0.1,5,5,10,5,27 - 33 minutes,3,3,1,15
Bus | Bus | Uber/Lyft,15,30,0.2,0,0,10,5,24 - 36 minutes,3,3,2,15
Taxi | Bus | Uber/Lyft,25,30,0.1,0,10,10,10,27 - 33 minutes,3,3,3,15
Taxi | Bus | Taxi,25,60,0.05,0,10,10,10,57 - 63 minutes,3,4,1,16
Car | Bus | Bus,30,30,0.05,10,0,5,10,28 - 32 minutes,3,4,2,16
Taxi | Bus,15,30,0.1,0,5,10,10,27 - 33 minutes,3,4,3,16
Car,20,60,0.1,10,5,10,5,54 - 66 minutes,3,5,1,17
Car | Bus | Bus,15,60,0.1,10,5,10,5,54 - 66 minutes,3,5,2,17
Taxi,10,30,0.05,0,10,10,10,28 - 32 minutes,3,5,3,17
Taxi | Bus | Uber/Lyft,15,70,0.1,10,10,5,5,63 - 77 minutes,3,6,1,18
Bus | Bus,10,60,0.2,5,10,5,5,48 - 72 minutes,3,6,2,18
Taxi | Bus | Uber/Lyft,30,60,0.05,0,0,5,10,57 - 63 minutes,3,6,3,18
Bus | Bus,15,50,0.2,0,0,10,5,40 - 60 minutes,4,1,1,19
Car | Bus | Uber/Lyft,15,40,0.1,10,10,10,10,36 - 44 minutes,4,1,2,19
Car | Bus,25,60,0.05,5,5,10,5,57 - 63 minutes,4,1,3,19
Car | Bus | Bus,20,30,0.2,5,10,10,5,24 - 36 minutes,4,2,1,20
Bus | Bus | Uber/Lyft,20,40,0.1,10,5,5,10,36 - 44 minutes,4,2,2,20
Car,30,60,0.1,5,5,5,10,54 - 66 minutes,4,2,3,20
Car | Bus | Taxi,10,70,0.1,5,5,5,10,63 - 77 minutes,4,3,1,21
Uber/Lyft,20,60,0.05,5,0,5,10,57 - 63 minutes,4,3,2,21
Bus,20,30,0.1,5,10,10,5,27 - 33 minutes,4,3,3,21
Taxi,25,60,0.05,5,5,5,10,57 - 63 minutes,4,4,1,22
Bus | Bus | Uber/Lyft,25,40,0.1,10,10,5,5,36 - 44 minutes,4,4,2,22
Uber/Lyft,25,70,0.1,0,5,5,10,63 - 77 minutes,4,4,3,22
Car | Bus,10,70,0.1,0,10,5,10,63 - 77 minutes,4,5,1,23
Car | Bus,25,60,0.05,5,10,10,5,57 - 63 minutes,4,5,2,23
Taxi | Bus | Taxi,30,50,0.05,0,10,10,5,48 - 52 minutes,4,5,3,23
Car | Bus,25,60,0.05,0,5,10,5,57 - 63 minutes,4,6,1,24
Uber/Lyft,30,70,0.2,0,5,5,5,56 - 84 minutes,4,6,2,24
Bus,10,70,0.2,0,5,5,5,56 - 84 minutes,4,6,3,24
Uber/Lyft | Bus | Uber/Lyft,10,60,0.05,10,0,10,10,57 - 63 minutes,5,1,1,25
Bus | Bus | Uber/Lyft,20,70,0.2,5,5,5,5,56 - 84 minutes,5,1,2,25
Taxi | Bus,15,30,0.05,10,0,5,5,28 - 32 minutes,5,1,3,25
Car | Bus | Uber/Lyft,25,30,0.2,5,5,10,10,24 - 36 minutes,5,2,1,26
Taxi | Bus | Taxi,25,60,0.05,10,5,10,10,57 - 63 minutes,5,2,2,26
Uber/Lyft | Bus,25,70,0.1,0,10,10,5,63 - 77 minutes,5,2,3,26
Bus | Bus,10,30,0.1,0,0,5,5,27 - 33 minutes,5,3,1,27
Taxi | Bus | Uber/Lyft,20,60,0.2,5,0,5,5,48 - 72 minutes,5,3,2,27
Uber/Lyft | Bus,20,70,0.05,5,5,5,5,66 - 74 minutes,5,3,3,27
Bus,20,50,0.05,0,0,5,10,48 - 52 minutes,5,4,1,28
Uber/Lyft | Bus | Taxi,25,50,0.2,0,5,5,10,40 - 60 minutes,5,4,2,28
Uber/Lyft | Bus,15,50,0.2,0,5,5,10,40 - 60 minutes,5,4,3,28
Uber/Lyft,30,50,0.2,0,0,10,10,40 - 60 minutes,5,5,1,29
Uber/Lyft | Bus | Taxi,25,40,0.1,10,0,10,10,36 - 44 minutes,5,5,2,29
Car | Bus | Bus,30,30,0.1,10,5,5,5,27 - 33 minutes,5,5,3,29
Uber/Lyft | Bus,30,30,0.1,5,10,10,10,27 - 33 minutes,5,6,1,30
Uber/Lyft | Bus | Bus,20,40,0.05,0,10,10,10,38 - 42 minutes,5,6,2,30
Bus | Bus | Taxi,15,70,0.05,0,5,10,5,66 - 74 minutes,5,6,3,30
Bus,15,30,0.1,5,10,5,5,27 - 33 minutes,6,1,1,31
Car | Bus | Uber/Lyft,30,60,0.05,5,5,10,10,57 - 63 minutes,6,1,2,31
Car | Bus | Taxi,15,50,0.1,10,5,10,10,45 - 55 minutes,6,1,3,31
Uber/Lyft | Bus,30,60,0.05,0,5,10,5,57 - 63 minutes,6,2,1,32
Bus | Bus | Uber/Lyft,20,70,0.2,5,0,10,10,56 - 84 minutes,6,2,2,32
Car | Bus | Bus,30,60,0.05,0,10,10,10,57 - 63 minutes,6,2,3,32
Bus | Bus,10,30,0.05,5,5,10,10,28 - 32 minutes,6,3,1,33
Car | Bus | Bus,15,70,0.2,0,0,5,5,56 - 84 minutes,6,3,2,33
